cfgid,vel,sim,bins,levels,maxit,ds,be,jl,le
0001,false,NMI,64,3,300,2.5,0,0,0
0002,false,NMI,64,3,300,2.5,0,0.00001,0
0003,false,NMI,64,3,300,2.5,0,0.0001,0
0004,false,NMI,64,3,300,2.5,0,0.0005,0
0005,false,NMI,64,3,300,2.5,0,0.001,0
0006,false,NMI,64,3,300,2.5,0,0.005,0
0007,false,NMI,64,3,300,2.5,0,0.01,0
0008,false,NMI,64,3,300,2.5,0,0.05,0
0009,false,NMI,64,3,300,2.5,0.0001,0,0
0010,false,NMI,64,3,300,2.5,0.0001,0.00001,0
0011,false,NMI,64,3,300,2.5,0.0001,0.0001,0
0012,false,NMI,64,3,300,2.5,0.0001,0.0005,0
0013,false,NMI,64,3,300,2.5,0.0001,0.001,0
0014,false,NMI,64,3,300,2.5,0.0001,0.005,0
0015,false,NMI,64,3,300,2.5,0.0001,0.01,0
0016,false,NMI,64,3,300,2.5,0.0001,0.05,0
0017,false,NMI,64,3,300,2.5,0.0005,0,0
0018,false,NMI,64,3,300,2.5,0.0005,0.00001,0
0019,false,NMI,64,3,300,2.5,0.0005,0.0001,0
0020,false,NMI,64,3,300,2.5,0.0005,0.0005,0
0021,false,NMI,64,3,300,2.5,0.0005,0.001,0
0022,false,NMI,64,3,300,2.5,0.0005,0.005,0
0023,false,NMI,64,3,300,2.5,0.0005,0.01,0
0024,false,NMI,64,3,300,2.5,0.0005,0.05,0
0025,false,NMI,64,3,300,2.5,0.001,0,0
0026,false,NMI,64,3,300,2.5,0.001,0.00001,0
0027,false,NMI,64,3,300,2.5,0.001,0.0001,0
0028,false,NMI,64,3,300,2.5,0.001,0.0005,0
0029,false,NMI,64,3,300,2.5,0.001,0.001,0
0030,false,NMI,64,3,300,2.5,0.001,0.005,0
0031,false,NMI,64,3,300,2.5,0.001,0.01,0
0032,false,NMI,64,3,300,2.5,0.001,0.05,0
0033,false,NMI,64,3,300,2.5,0.005,0,0
0034,false,NMI,64,3,300,2.5,0.005,0.00001,0
0035,false,NMI,64,3,300,2.5,0.005,0.0001,0
0036,false,NMI,64,3,300,2.5,0.005,0.0005,0
0037,false,NMI,64,3,300,2.5,0.005,0.001,0
0038,false,NMI,64,3,300,2.5,0.005,0.005,0
0039,false,NMI,64,3,300,2.5,0.005,0.01,0
0040,false,NMI,64,3,300,2.5,0.005,0.05,0
0041,false,NMI,64,3,300,2.5,0.01,0,0
0042,false,NMI,64,3,300,2.5,0.01,0.00001,0
0043,false,NMI,64,3,300,2.5,0.01,0.0001,0
0044,false,NMI,64,3,300,2.5,0.01,0.0005,0
0045,false,NMI,64,3,300,2.5,0.01,0.001,0
0046,false,NMI,64,3,300,2.5,0.01,0.005,0
0047,false,NMI,64,3,300,2.5,0.01,0.01,0
0048,false,NMI,64,3,300,2.5,0.01,0.05,0
0049,false,NMI,64,3,300,2.5,0.05,0,0
0050,false,NMI,64,3,300,2.5,0.05,0.00001,0
0051,false,NMI,64,3,300,2.5,0.05,0.0001,0
0052,false,NMI,64,3,300,2.5,0.05,0.0005,0
0053,false,NMI,64,3,300,2.5,0.05,0.001,0
0054,false,NMI,64,3,300,2.5,0.05,0.005,0
0055,false,NMI,64,3,300,2.5,0.05,0.01,0
0056,false,NMI,64,3,300,2.5,0.05,0.05,0
0057,false,NMI,64,3,300,2.5,0.1,0,0
0058,false,NMI,64,3,300,2.5,0.1,0.00001,0
0059,false,NMI,64,3,300,2.5,0.1,0.0001,0
0060,false,NMI,64,3,300,2.5,0.1,0.0005,0
0061,false,NMI,64,3,300,2.5,0.1,0.001,0
0062,false,NMI,64,3,300,2.5,0.1,0.005,0
0063,false,NMI,64,3,300,2.5,0.1,0.01,0
0064,false,NMI,64,3,300,2.5,0.1,0.05,0
0065,false,NMI,64,3,300,2.5,0.5,0,0
0066,false,NMI,64,3,300,2.5,0.5,0.00001,0
0067,false,NMI,64,3,300,2.5,0.5,0.0001,0
0068,false,NMI,64,3,300,2.5,0.5,0.0005,0
0069,false,NMI,64,3,300,2.5,0.5,0.001,0
0070,false,NMI,64,3,300,2.5,0.5,0.005,0
0071,false,NMI,64,3,300,2.5,0.5,0.01,0
0072,false,NMI,64,3,300,2.5,0.5,0.05,0
0073,false,NMI,64,3,300,2.5,1,0,0
0074,false,NMI,64,3,300,2.5,1,0.00001,0
